Id,Time[ns],1:UART: RX/TX
999,8603314680.00,2
1000,8603325520.00,6
1001,8603336360.00,5
1002,8603347200.00,6
1003,8603358040.00,E
1004,8603368920.00,6
1005,8603379760.00,4
1006,8603390600.00,7
1007,8603401440.00,0
1008,8603412280.00,6
1009,8603423160.00,F
1010,8603434000.00,6
1011,8603444840.00,9
1012,8603455680.00,6
1013,8603466520.00,E
1014,8603477360.00,7
1015,8603488240.00,4
1016,8603499080.00,2
1017,8603509920.00,2
1018,8603520760.00,3
1019,8603531640.00,A
1020,8603542480.00,2
1021,8603553320.00,2
1022,8603564160.00,6
1023,8603575000.00,D
1024,8603585880.00,7
1025,8603596720.00,1
1026,8603607560.00,7
1027,8603618400.00,4
1028,8603629240.00,7
1029,8603640120.00,4
1030,8603650960.00,2
1031,8603661800.00,E
1032,8603672640.00,7
1033,8603683480.00,8
1034,8603694320.00,6
1035,8603705200.00,9
1036,8603716040.00,6
1037,8603726880.00,1
1038,8603737720.00,6
1039,8603748600.00,F
1040,8603759440.00,7
1041,8603770280.00,A
1042,8603781120.00,6
1043,8603791960.00,8
1044,8603802840.00,6
1045,8603813680.00,9
1046,8603824520.00,2
1047,8603835360.00,E
1048,8603846200.00,6
1049,8603857080.00,D
1050,8603867920.00,6
1051,8603878760.00,5
1052,8603889600.00,2
1053,8603900440.00,2
1054,8603911320.00,2
1055,8603922160.00,C
1056,8603933000.00,2
1057,8603943840.00,2
1058,8603954680.00,6
1059,8603965560.00,3
1060,8603976400.00,6
1061,8603987240.00,C
1062,8603998080.00,6
1063,8604008920.00,9
1064,8604019800.00,6
1065,8604030640.00,5
1066,8604041480.00,6
1067,8604052320.00,E
1068,8604063160.00,7
1069,8604074040.00,4
1070,8604084880.00,5
1071,8604095720.00,F
1072,8604106560.00,6
1073,8604117400.00,9
1074,8604128280.00,6
1075,8604139120.00,4
1076,8604149960.00,2
1077,8604160800.00,2
1078,8604171640.00,3
1079,8604182520.00,A
1080,8604193360.00,2
1081,8604204200.00,2
1082,8604215040.00,4
1083,8604225880.00,7
1084,8604236760.00,4
1085,8604247600.00,9
1086,8604258440.00,4
